"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-2.8373,0.92696,0.26048,-1.7179,0.55473,0
-2.5245,1.0756,0.29502,-1.5858,1.152,0
-1.8926,1.3184,0.2994,-1.1197,1.4122,0
-1.5453,1.4525,0.047192,-0.93244,1.9074,0
-2.0395,1.1632,0.58219,-1.0754,0.94925,0
-2.6221,1.0249,0.31751,-1.6241,0.96576,0
-1.9166,1.313,0.24621,-1.1564,1.5015,0
-1.8665,1.3352,0.19993,-1.1346,1.5962,0
-1.8362,1.3479,0.14697,-1.1257,1.7016,0
-2.9901,0.98604,0.2588,-1.9111,0.68137,0
-2.695,1.0249,0.29521,-1.7066,1.0043,0
-1.8198,1.3542,0.095269,-1.1228,1.8054,0
-2.4858,0.72167,0.45277,-1.2635,0.46898,0
-2.7803,1.0194,0.27824,-1.7975,1.0307,0
-1.5081,1.5577,0.79886,-0.69466,0.98404,0
-0.36606,2.0713,0.19691,-0.17408,1.2685,0
-2.7575,0.72206,0.064806,-1.5175,0.085341,0
-2.6678,1.0603,0.20696,-1.7758,1.3933,0
-0.82368,1.688,0.087915,-0.46766,1.7859,0
-2.6845,1.0558,0.13223,-1.829,1.6263,0
-2.9147,0.87504,0.1327,-1.7331,0.24032,0
-3.0795,0.9559,0.093924,-1.9066,0.18773,0
-2.633,1.0707,0.033956,-1.8028,1.9072,0
-0.32736,1.7632,0.016174,-0.18447,1.9114,0
-2.1639,0.95579,0.71782,-1.0468,0.71215,0
-2.1784,1.2265,0.038472,-1.4064,1.9105,0
-2.8261,1.0202,0.25557,-1.8725,1.146,0
-1.262,1.7746,0.77483,-0.56324,1.0184,0
-1.1243,1.638,0.23859,-0.62517,1.545,0
-0.31684,1.7757,0.031807,-0.17731,1.8224,0
-2.9761,0.91583,0.1444,-1.8081,0.28232,0
-2.9374,0.99907,0.2748,-1.9111,0.87676,0
-2.6477,0.58846,0.12087,-1.3552,0.11912,0
-2.6939,0.66656,0.12735,-1.4343,0.14728,0
-0.48583,1.7423,0.021969,-0.2749,1.9165,0
-0.49249,2.1683,0.32875,-0.22006,1.1563,0
-0.87101,1.6957,0.14328,-0.48799,1.6733,0
-0.31901,2.202,0.21238,-0.143,1.1744,0
-2.2989,1.184,0.071518,-1.5025,1.8253,0
-1.2906,1.569,0.23853,-0.73105,1.5596,0
-2.6687,1.0612,0.16652,-1.7997,1.5239,0
-1.6977,1.3989,0.095372,-1.0345,1.8106,0
-1.4334,1.5072,0.21741,-0.82945,1.5969,0
-2.7569,1.0311,0.1016,-1.908,1.7123,0
-2.7749,1.0313,0.24409,-1.8409,1.2208,0
-1.4945,1.4722,0.091346,-0.89368,1.8226,0
-2.3983,0.801,0.53359,-1.2168,0.57395,0
-2.5083,0.61516,0.41906,-1.2318,0.36916,0
-2.5385,0.21458,0.17761,-1.0868,0.092252,0
-0.20745,2.3859,0.17136,-0.086414,1.082,0
-2.058,0.99607,0.87453,-0.93152,0.70421,0
-2.9043,0.96953,0.26602,-1.8194,0.6664,0
-0.62283,1.7245,0.04797,-0.35268,1.8538,0
-0.34846,1.8598,0.095983,-0.18557,1.5518,0
-2.5805,0.63063,0.31082,-1.3113,0.30642,0
-3.0836,0.95215,0.047588,-1.9039,0.093387,0
-2.7376,1.0349,0.034425,-1.9021,1.9041,0
-0.8895,2.007,0.5734,-0.39801,1.1045,0
-0.16519,1.7765,0.0088257,-0.092832,1.9059,0
-2.9124,0.86196,0.1008,-1.7219,0.17719,0
-0.32029,1.7951,0.049352,-0.17721,1.7329,0
-0.52854,1.8753,0.1787,-0.27504,1.4563,0
-2.5415,0.3891,0.27358,-1.1629,0.17939,0
-2.6674,0.67922,0.20366,-1.4167,0.23592,0
-2.8207,1.0075,0.28274,-1.8139,0.94588,0
-2.4104,1.146,0.069769,-1.5979,1.8219,0
-1.2579,1.553,0.077753,-0.73853,1.8455,0
-3.0595,0.96712,0.17602,-1.9129,0.3779,0
-1.4171,1.6419,0.80797,-0.64135,0.9912,0
-1.0821,1.633,0.1749,-0.61236,1.6485,0
-2.7126,1.0479,0.15322,-1.8467,1.5599,0
-1.4674,1.4843,0.12479,-0.87073,1.7599,0
-2.5062,0.51988,0.41007,-1.1842,0.30911,0
-2.4843,0.5095,0.45435,-1.1563,0.32634,0
-2.4605,0.54702,0.5005,-1.1484,0.36766,0
-2.4599,0.58948,0.49765,-1.1685,0.39175,0
-2.4766,0.62311,0.46833,-1.2029,0.40027,0
-2.4927,0.61854,0.44353,-1.2174,0.38471,0
-2.5149,0.58762,0.40441,-1.2252,0.3434,0
-2.5214,0.55997,0.38766,-1.2186,0.31764,0
-2.5016,0.55368,0.42342,-1.1952,0.33431,0
-2.4813,0.5493,0.46104,-1.1718,0.35099,0
-2.4787,0.58716,0.46566,-1.1874,0.37563,0
-2.4971,0.58656,0.43453,-1.2063,0.35951,0
-3.0503,0.94077,0.093421,-1.8755,0.18422,0
-3.0215,0.92538,0.093221,-1.8443,0.18071,0
-2.9881,0.91126,0.11087,-1.8115,0.21224,0
-2.9824,0.91333,0.12791,-1.8098,0.24728,0
-3.0077,0.93126,0.14125,-1.8423,0.28214,0
-3.0398,0.94645,0.13873,-1.8765,0.28197,0
-3.0752,0.95946,0.12297,-1.9093,0.25044,0
-3.0776,0.95761,0.10866,-1.908,0.21908,0
-3.0473,0.94247,0.10899,-1.8758,0.2168,0
-3.0175,0.92702,0.10973,-1.8437,0.21452,0
-3.0128,0.92899,0.12575,-1.843,0.24833,0
-3.0438,0.94436,0.1241,-1.8762,0.24939,0
-2.3886,0.56752,0.63467,-1.0784,0.42604,0
-2.3852,0.62183,0.6185,-1.1028,0.45447,0
-2.4102,0.65401,0.56551,-1.1476,0.46054,0
-2.4357,0.64006,0.52941,-1.1681,0.43818,0
-2.4402,0.50015,0.54877,-1.1036,0.36159,0
-2.4174,0.50203,0.59817,-1.0788,0.3796,0
-2.4136,0.55731,0.58872,-1.1018,0.40658,0
-2.4112,0.60783,0.5777,-1.1247,0.43356,0
-2.436,0.59711,0.53732,-1.1466,0.41265,0
-2.4375,0.55055,0.54392,-1.1251,0.38712,0
-2.8041,0.76707,0.060492,-1.5803,0.087753,0
-2.7805,0.74508,0.062525,-1.5489,0.086547,0
-2.755,0.72495,0.085678,-1.5169,0.11326,0
-2.7518,0.72879,0.10623,-1.5162,0.14118,0
-2.7726,0.75893,0.1258,-1.5499,0.17801,0
-2.7979,0.7829,0.12528,-1.5842,0.18693,0
-2.8263,0.79876,0.10353,-1.6163,0.16022,0
-2.8278,0.7929,0.081429,-1.614,0.12459,0
-2.8028,0.77136,0.082655,-1.5816,0.12081,0
-2.7785,0.74875,0.084074,-1.5492,0.11704,0
-2.7758,0.75336,0.10518,-1.5496,0.14752,0
-2.8007,0.77667,0.10428,-1.5829,0.15387,0
-1.9403,1.3106,0.075735,-1.2154,1.8391,0
-1.9362,1.3123,0.060556,-1.2139,1.8713,0
-1.9747,1.2986,0.044249,-1.2448,1.9047,0
-2.0164,1.2837,0.043098,-1.2771,1.9058,0
-2.0612,1.2676,0.055907,-1.3111,1.8758,0
-2.0653,1.2659,0.069843,-1.3127,1.8448,0
-2.0287,1.2787,0.086128,-1.2819,1.8114,0
-1.987,1.2936,0.088512,-1.2494,1.8092,0
-1.9825,1.2955,0.073763,-1.2478,1.841,0
-1.9784,1.2972,0.059003,-1.2463,1.8728,0
-2.02,1.2823,0.05745,-1.2787,1.8743,0
-2.0241,1.2806,0.071793,-1.2803,1.8429,0
-2.3865,0.71953,0.57834,-1.157,0.51325,0
-2.3915,0.76273,0.55559,-1.1869,0.5436,0
-2.4288,0.77205,0.50908,-1.2324,0.53896,0
-2.458,0.74558,0.48213,-1.2479,0.50397,0
-2.4762,0.69325,0.46588,-1.2385,0.45126,0
-2.4677,0.6624,0.47943,-1.2135,0.43354,0
-2.4418,0.67852,0.51328,-1.1947,0.46011,0
-2.4148,0.69753,0.54631,-1.1759,0.48668,0
-2.4211,0.73679,0.52744,-1.2041,0.51282,0
-2.4493,0.7136,0.49747,-1.2213,0.48204,0
-1.8302,1.3503,0.12963,-1.1247,1.7362,0
-1.8247,1.3524,0.1124,-1.1238,1.7708,0
-1.862,1.3389,0.09387,-1.1542,1.8059,0
-1.9037,1.3237,0.092418,-1.1855,1.8064,0
-1.9488,1.307,0.10644,-1.2174,1.7741,0
-1.9533,1.3051,0.122,-1.2179,1.7413,0
-1.918,1.3175,0.14077,-1.1875,1.7062,0
-1.8773,1.3326,0.14389,-1.1566,1.7039,0
-1.8717,1.335,0.12714,-1.1558,1.7379,0
-1.8666,1.337,0.11047,-1.155,1.7719,0
-1.9079,1.3219,0.10847,-1.1862,1.773,0
-1.9127,1.3199,0.12459,-1.1868,1.7396,0
-2.8726,0.98787,0.28045,-1.8231,0.79528,0
-2.8635,0.99197,0.28213,-1.8227,0.82622,0
-2.882,0.99724,0.27967,-1.8519,0.8637,0
-2.9097,0.99827,0.27692,-1.8815,0.87023,0
-2.947,0.99704,0.27409,-1.9118,0.84463,0
-2.9565,0.995,0.27262,-1.9126,0.81251,0
-2.9377,0.99009,0.27225,-1.8834,0.77504,0
-2.9096,0.98701,0.27479,-1.8534,0.76969,0
-2.9004,0.99046,0.27717,-1.8529,0.80102,0
-2.8912,0.99387,0.27879,-1.8524,0.83236,0
-2.9191,0.99557,0.27612,-1.8821,0.8385,0
-2.9284,0.99284,0.27457,-1.8827,0.80677,0
-0.32021,1.7707,0.026629,-0.1797,1.8521,0
-0.32371,1.7665,0.021425,-0.18208,1.8817,0
-0.38039,1.757,0.018278,-0.21461,1.9131,0
-0.43323,1.7501,0.020211,-0.24476,1.9148,0
-0.48074,1.7455,0.029033,-0.27158,1.8889,0
-0.47583,1.7493,0.03604,-0.26825,1.8613,0
-0.41991,1.7619,0.039636,-0.23572,1.8299,0
-0.36848,1.7692,0.035894,-0.20652,1.8262,0
-0.3723,1.7643,0.030059,-0.20922,1.8551,0
-0.37626,1.7603,0.024193,-0.21191,1.8841,0
-0.42862,1.7533,0.02673,-0.24175,1.8865,0
-0.42418,1.7572,0.0332,-0.23873,1.8582,0
-0.67419,1.7131,0.047751,-0.38283,1.8633,0
-0.72519,1.7011,0.046952,-0.41297,1.8728,0
-0.79134,1.688,0.059155,-0.45129,1.8502,0
-0.80728,1.6879,0.073241,-0.45948,1.8181,0
-0.76601,1.7036,0.086255,-0.43331,1.7792,0
-0.70781,1.7185,0.083879,-0.39896,1.7725,0
-0.64,1.7294,0.06942,-0.36064,1.7952,0
-0.63125,1.7267,0.058496,-0.35666,1.8245,0
-0.68502,1.7143,0.059321,-0.3882,1.8331,0
-0.73839,1.7014,0.059528,-0.41975,1.8416,0
-0.75199,1.7023,0.072612,-0.42653,1.8104,0
-0.69622,1.7161,0.071353,-0.39358,1.8028,0
-2.0727,1.2626,0.097716,-1.3145,1.7827,0
-2.076,1.2609,0.11168,-1.3145,1.7516,0
-2.0397,1.2733,0.12957,-1.2825,1.7166,0
-1.9991,1.2879,0.13358,-1.2505,1.7126,0
-1.9946,1.2901,0.11853,-1.2501,1.7448,0
-1.9906,1.2919,0.10351,-1.2498,1.777,0
-2.0319,1.2771,0.1006,-1.2821,1.7798,0
-2.0355,1.2753,0.11508,-1.2823,1.7482,0
-2.296,0.93458,0.56692,-1.1909,0.71799,0
-2.3286,0.92044,0.54425,-1.2177,0.70397,0
-2.3727,0.87484,0.52814,-1.2352,0.65128,0
-2.3853,0.83913,0.5321,-1.226,0.61262,0
-2.3594,0.81746,0.57032,-1.1843,0.5969,0
-2.319,0.83799,0.6073,-1.1518,0.61984,0
-2.2712,0.8948,0.62621,-1.1342,0.67253,0
-2.2664,0.92404,0.60802,-1.1491,0.70227,0
-2.3028,0.90514,0.58134,-1.1778,0.68527,0
-2.3382,0.88877,0.55464,-1.2065,0.66828,0
-2.3484,0.85451,0.56339,-1.1954,0.63259,0
-2.3105,0.873,0.59484,-1.1648,0.65256,0
-1.9197,1.3185,0.015173,-1.2041,1.9679,0
-1.9259,1.3162,0.0303,-1.2083,1.9357,0
-1.8895,1.3292,0.045999,-1.1799,1.9036,0
-1.846,1.3448,0.046564,-1.1474,1.9036,0
-1.794,1.3636,0.031427,-1.1099,1.9358,0
-1.7865,1.3662,0.015731,-1.1049,1.9679,0
-1.8314,1.3501,0.015557,-1.138,1.9679,0
-1.8758,1.3342,0.015371,-1.1711,1.9679,0
-1.8824,1.3318,0.030699,-1.1755,1.9357,0
-1.8385,1.3476,0.031076,-1.1427,1.9358,0
-2.965,0.93502,0.19637,-1.8199,0.41061,0
-2.9823,0.93737,0.18559,-1.8334,0.38622,0
-2.9918,0.9324,0.16504,-1.834,0.33532,0
-2.9841,0.92426,0.15496,-1.8211,0.30882,0
-2.9521,0.90763,0.15614,-1.7852,0.3027,0
-2.9281,0.89998,0.16823,-1.7623,0.32308,0
-2.9184,0.90722,0.19011,-1.7617,0.37397,0
-2.9329,0.92067,0.19885,-1.784,0.40448,0
-2.9527,0.92399,0.18758,-1.8007,0.38143,0
-2.9724,0.9279,0.17631,-1.8173,0.35838,0
-2.9623,0.91799,0.1665,-1.8013,0.33054,0
-2.9404,0.9123,0.17822,-1.7815,0.35225,0
-1.0594,2.0088,0.80775,-0.44166,0.98485,0
-0.98637,2.0599,0.75992,-0.4115,0.99964,0
-0.90376,2.0708,0.65914,-0.38689,1.0444,0
-0.89608,2.0378,0.61437,-0.39245,1.0745,0
-0.95254,1.9767,0.61388,-0.4252,1.0895,0
-1.0153,1.943,0.65251,-0.45239,1.0746,0
-1.094,1.922,0.73854,-0.477,1.0298,0
-1.1119,1.9378,0.79247,-0.47442,0.99994,0
-1.0432,1.9863,0.75156,-0.44524,1.0148,0
-0.97374,2.0307,0.70694,-0.41606,1.0296,0
-0.9625,2.003,0.65838,-0.42063,1.0596,0
-1.0285,1.9643,0.69992,-0.44881,1.0447,0
-2.2764,0.62796,0.84223,-0.97407,0.4944,0
-2.2417,0.67491,0.882,-0.95612,0.52117,0
-2.1953,0.77402,0.88051,-0.95717,0.57461,0
-2.1874,0.81722,0.84434,-0.97616,0.60128,0
-2.219,0.81539,0.78027,-1.0168,0.60315,0
-2.2552,0.77827,0.74844,-1.0384,0.57835,0
-2.2943,0.69718,0.74225,-1.0374,0.52491,0
-2.3008,0.64425,0.77057,-1.0147,0.49627,0
-2.2674,0.68371,0.81041,-0.99552,0.52238,0
-2.2322,0.72701,0.84716,-0.97634,0.54849,0
-2.2247,0.77366,0.81319,-0.99656,0.57582,0
-2.2604,0.73361,0.77905,-1.017,0.55037,0
-0.2991,1.9649,0.12165,-0.15093,1.3981,0
-0.3632,1.9689,0.15313,-0.18211,1.3779,0
-0.40771,2.0015,0.1908,-0.20021,1.3279,0
-0.38707,2.035,0.19428,-0.18715,1.2982,0
-0.3073,2.0739,0.16326,-0.14662,1.2787,0
-0.24884,2.074,0.13031,-0.11917,1.289,0
-0.20604,2.0299,0.096985,-0.10106,1.3389,0
-0.22103,1.9923,0.094961,-0.11041,1.3786,0
-0.28262,1.9978,0.12525,-0.14034,1.3617,0
-0.34486,2.0008,0.15723,-0.17028,1.3448,0
-0.32625,2.0357,0.16062,-0.15845,1.3118,0
-0.26588,2.034,0.12815,-0.12976,1.3254,0
-2.5205,1.1089,0.011319,-1.7008,1.97,0
-2.5219,1.1085,0.02262,-1.7017,1.9401,0
-2.4863,1.1205,0.034091,-1.669,1.9107,0
-2.4484,1.1334,0.034314,-1.6354,1.9113,0
-2.4086,1.1471,0.023062,-1.6012,1.9412,0
-2.4074,1.1475,0.011538,-1.6006,1.9706,0
-2.4455,1.1345,0.011454,-1.634,1.9704,0
-2.4832,1.1216,0.01138,-1.6674,1.9702,0
-2.4846,1.1212,0.02275,-1.6682,1.9405,0
-2.4468,1.134,0.022896,-1.6347,1.9409,0
-1.5888,1.4371,0.04717,-0.96252,1.9072,0
-1.6318,1.4218,0.047076,-0.9926,1.9069,0
-1.6817,1.4042,0.063018,-1.0266,1.8746,0
-1.6894,1.4016,0.07916,-1.0305,1.8426,0
-1.6646,1.4109,0.093058,-1.0113,1.8162,0
-1.6313,1.423,0.090659,-0.98809,1.8218,0
-1.5799,1.441,0.074475,-0.95408,1.8541,0
-1.5625,1.4468,0.06083,-0.94326,1.8808,0
-1.6026,1.4325,0.061638,-0.97104,1.8787,0
-1.6423,1.4183,0.062371,-0.99882,1.8766,0
-1.6533,1.4147,0.077695,-1.005,1.8464,0
-1.6167,1.4278,0.076132,-0.97956,1.8503,0
-2.824,1.0215,0.22514,-1.9049,1.292,0
-2.8314,1.0201,0.23019,-1.9071,1.269,0
-2.8177,1.023,0.2378,-1.8864,1.2376,0
-2.7963,1.0272,0.24083,-1.8636,1.2292,0
-2.7579,1.0355,0.23901,-1.8309,1.2485,0
-2.7411,1.0398,0.23354,-1.821,1.2763,0
-2.7553,1.0371,0.22471,-1.8416,1.3077,0
-2.7861,1.03,0.22209,-1.8722,1.3113,0
-2.7965,1.0276,0.2276,-1.877,1.2867,0
-2.807,1.0253,0.23283,-1.8817,1.2622,0
-2.7825,1.0304,0.23577,-1.8563,1.2553,0
-2.7689,1.0337,0.23039,-1.849,1.2815,0
-1.4076,1.7011,0.97173,-0.5923,0.90941,0
-1.4806,1.6249,0.98496,-0.62706,0.89396,0
-1.573,1.5376,1.0642,-0.65268,0.84334,0
-1.5978,1.5214,1.1443,-0.64354,0.80817,0
-1.3934,1.76,1.0895,-0.55623,0.8626,0
-1.3618,1.7705,1.0178,-0.55689,0.89374,0
-1.4345,1.693,1.0403,-0.58903,0.87722,0
-1.5049,1.6152,1.0557,-0.62096,0.86042,0
-1.5318,1.6013,1.1322,-0.61486,0.82689,0
-1.4636,1.681,1.1139,-0.58575,0.84504,0
-2.1658,0.77993,0.95155,-0.9191,0.57449,0
-2.1247,0.8373,0.98044,-0.90003,0.60105,0
-2.0722,0.93423,0.95884,-0.89781,0.65314,0
-2.0643,0.96697,0.91559,-0.91467,0.67868,0
-2.1006,0.94696,0.85655,-0.95273,0.67879,0
-2.1417,0.90014,0.8348,-0.97394,0.65337,0
-2.156,0.82459,0.91105,-0.93738,0.60079,0
-2.115,0.87809,0.93722,-0.9176,0.62696,0
-2.107,0.91451,0.89592,-0.93516,0.65288,0
-2.148,0.8645,0.87209,-0.95566,0.62708,0
-2.7113,0.69,0.12707,-1.4614,0.15455,0
-2.7294,0.71232,0.12674,-1.4884,0.16183,0
-2.742,0.7053,0.066662,-1.4957,0.084674,0
-2.7268,0.68793,0.06866,-1.4739,0.084007,0
-2.7064,0.66802,0.089518,-1.4461,0.10465,0
-2.7003,0.66688,0.10838,-1.4402,0.12597,0
-2.7169,0.68848,0.10764,-1.4655,0.13104,0
-2.7341,0.70908,0.10691,-1.4909,0.13611,0
-2.7383,0.70675,0.086874,-1.4933,0.11039,0
-2.7221,0.68777,0.088157,-1.4697,0.10752,0
-2.6753,1.0569,0.068018,-1.8379,1.8116,0
-2.7106,1.045,0.068024,-1.8715,1.8104,0
-2.749,1.0326,0.079399,-1.906,1.7769,0
-2.7527,1.0319,0.090557,-1.907,1.7446,0
-2.7231,1.0422,0.10156,-1.8756,1.7139,0
-2.689,1.0533,0.10166,-1.8432,1.7154,0
-2.6492,1.0661,0.090756,-1.8087,1.7489,0
-2.6442,1.0676,0.079485,-1.8065,1.7809,0
-2.6795,1.0558,0.079348,-1.8397,1.7795,0
-2.7144,1.0441,0.079322,-1.8729,1.7782,0
-2.7186,1.0432,0.090506,-1.8743,1.746,0
-2.6841,1.0546,0.090572,-1.8415,1.7475,0
-2.9412,0.94,0.22086,-1.8093,0.47712,0
-2.9344,0.94683,0.23334,-1.8123,0.51925,0
-2.9558,0.9622,0.24166,-1.8465,0.5667,0
-2.9847,0.97045,0.23967,-1.8777,0.57204,0
-3.0227,0.97617,0.22957,-1.9096,0.54239,0
-3.0311,0.974,0.21981,-1.9102,0.5074,0
-3.0082,0.95977,0.20774,-1.876,0.45994,0
-2.9776,0.94687,0.20702,-1.8411,0.44747,0
-2.9708,0.95194,0.21979,-1.8429,0.48722,0
-2.9635,0.95706,0.23134,-1.8447,0.52696,0
-2.9929,0.96684,0.23009,-1.8772,0.53467,0
-3.0008,0.96327,0.21944,-1.8766,0.49731,0
-0.52319,1.7364,0.02342,-0.29638,1.9166,0
-0.56041,1.7301,0.024822,-0.31786,1.9167,0
-0.60579,1.7235,0.033222,-0.34378,1.8959,0
-0.61423,1.7239,0.040489,-0.34823,1.8748,0
-0.57255,1.7349,0.046806,-0.32343,1.8471,0
-0.52197,1.7447,0.04516,-0.29418,1.8404,0
-0.5226,1.7386,0.030599,-0.29565,1.8912,0
-0.56428,1.7313,0.031991,-0.31971,1.8935,0
-0.56833,1.7329,0.039318,-0.32157,1.8703,0
-0.52219,1.7414,0.037839,-0.29491,1.8658,0
-0.055648,1.8586,0.013446,-0.029934,1.608,0
-0.11105,1.8531,0.026141,-0.059869,1.616,0
-0.17143,1.8604,0.043148,-0.091942,1.5919,0
-0.17689,1.8756,0.048693,-0.09408,1.5599,0
-0.12215,1.902,0.037703,-0.064146,1.5186,0
-0.061283,1.9101,0.019425,-0.032073,1.5093,0
-0.059326,1.8912,0.017247,-0.03136,1.5422,0
-0.05745,1.8741,0.015262,-0.030647,1.5751,0
-0.1146,1.8678,0.029662,-0.061295,1.5835,0
-0.1183,1.8841,0.033497,-0.06272,1.551,0
-0.33593,1.834,0.078013,-0.18165,1.6127,0
-0.34204,1.8463,0.086701,-0.18361,1.5822,0
-0.2936,1.8717,0.083326,-0.15579,1.5438,0
-0.2383,1.8826,0.069583,-0.126,1.5359,0
-0.22111,1.8396,0.049398,-0.11976,1.6303,0
-0.27576,1.8317,0.060019,-0.14972,1.6367,0
-0.28144,1.8438,0.06724,-0.15175,1.6057,0
-0.28738,1.8571,0.074998,-0.15377,1.5748,0
-0.23232,1.8669,0.06232,-0.12392,1.5674,0
-0.2266,1.8526,0.055614,-0.12184,1.5988,0
-2.5246,1.1075,0.057372,-1.7008,1.8476,0
-2.524,1.1077,0.045654,-1.7017,1.8788,0
-2.5605,1.0953,0.033887,-1.7359,1.9092,0
-2.597,1.083,0.0339,-1.7694,1.9082,0
-2.6348,1.0702,0.045399,-1.8033,1.8758,0
-2.637,1.0696,0.056784,-1.8038,1.8443,0
-2.602,1.0815,0.06832,-1.7695,1.814,0
-2.564,1.0942,0.068638,-1.7347,1.8152,0
-2.5625,1.0947,0.057108,-1.7351,1.8465,0
-2.5614,1.0951,0.045517,-1.7355,1.8778,0
-2.5983,1.0826,0.045431,-1.7694,1.8768,0
-2.6,1.0821,0.056912,-1.7695,1.8454,0
-1.5352,1.5228,0.72227,-0.73386,1.0278,0
-1.5795,1.4882,0.73231,-0.75572,1.0122,0
-1.6206,1.4573,0.77736,-0.76365,0.97325,0
-1.6188,1.4612,0.81671,-0.74974,0.94996,0
-1.5814,1.4974,0.84001,-0.72211,0.94579,0
-1.5448,1.5283,0.82008,-0.70838,0.96491,0
-1.5016,1.5579,0.76802,-0.70044,1.0038,0
-1.4957,1.5576,0.73851,-0.70623,1.0236,0
-1.5378,1.525,0.75328,-0.72537,1.0068,0
-1.5794,1.4915,0.76627,-0.74451,0.99004,0
-1.58,1.4945,0.80212,-0.73331,0.96791,0
-1.5409,1.5268,0.78586,-0.71688,0.98587,0
-3.0937,0.99106,0.2123,-1.9703,0.49081,0
-3.0663,0.98172,0.21045,-1.9405,0.48161,0
-3.0419,0.98597,0.23843,-1.9393,0.58491,0
-3.0701,0.99317,0.2391,-1.9697,0.59246,0
-3.0783,0.99244,0.23102,-1.9699,0.55857,0
-3.0862,0.99174,0.22209,-1.9701,0.52469,0
-3.0585,0.98307,0.22065,-1.9401,0.51604,0
-3.0504,0.9845,0.22998,-1.9397,0.55048,0
-1.9904,1.0223,1.0419,-0.84021,0.67872,0
-2.037,0.95889,1.0258,-0.86058,0.65316,0
-2.092,0.85916,1.0504,-0.86446,0.60359,0
-2.104,0.81619,1.0989,-0.84797,0.57958,0
-1.9605,1.0345,1.1619,-0.78862,0.65769,0
-1.9504,1.0626,1.1054,-0.80423,0.68098,0
-1.9995,0.99305,1.0925,-0.82459,0.6554,0
-2.0467,0.92509,1.0741,-0.84467,0.6296,0
-2.0582,0.88712,1.125,-0.82876,0.60604,0
-2.0103,0.96004,1.146,-0.80897,0.63208,0
-1.6275,1.4695,1.0228,-0.69104,0.84638,0
-1.7025,1.3856,1.0462,-0.72025,0.81427,0
-1.7845,1.2852,1.1188,-0.73535,0.75713,0
-1.7953,1.2688,1.1819,-0.72123,0.73212,0
-1.6453,1.456,1.0905,-0.68047,0.81487,0
-1.7159,1.3715,1.1089,-0.70803,0.78613,0
-1.7314,1.3541,1.1763,-0.69581,0.758,0
-1.6655,1.4385,1.1637,-0.66991,0.78335,0
-1.7211,1.3658,0.89097,-0.77859,0.87806,0
-1.6699,1.4162,0.87659,-0.75721,0.90236,0
-1.6727,1.4126,0.75356,-0.80049,0.97419,0
-1.7215,1.3711,0.76392,-0.82341,0.95183,0
-1.7691,1.3252,0.81194,-0.83087,0.90424,0
-1.7697,1.3203,0.85523,-0.81542,0.879,0
-1.7202,1.3683,0.84588,-0.79353,0.90265,0
-1.6698,1.4154,0.83298,-0.77163,0.9263,0
-1.6708,1.4142,0.79202,-0.78606,0.95025,0
-1.7203,1.3701,0.8036,-0.80847,0.92724,0
-2.4685,0.45554,0.49116,-1.114,0.31673,0
-2.4753,0.40766,0.47722,-1.0997,0.28989,0
-2.4636,0.30953,0.52635,-1.0425,0.27213,0
-2.4463,0.26029,0.60376,-0.99972,0.2812,0
-2.4144,0.32252,0.68371,-0.98932,0.32606,0
-2.4022,0.42103,0.66857,-1.0217,0.36184,0
-2.4469,0.44096,0.54563,-1.0832,0.33177,0
-2.4547,0.37752,0.53829,-1.0629,0.30195,0
-2.4345,0.34903,0.607,-1.0261,0.314,0
-2.4249,0.42938,0.60482,-1.0525,0.3468,0
-2.8431,0.9998,0.28361,-1.8195,0.88674,0
-2.8319,1.0036,0.28349,-1.8167,0.91631,0
-2.8497,1.0069,0.27879,-1.8449,0.95391,0
-2.8787,1.0061,0.27551,-1.8759,0.96193,0
-2.9176,1.003,0.27417,-1.9083,0.93889,0
-2.9275,1.001,0.27482,-1.9097,0.90782,0
-2.8993,1.0008,0.27711,-1.8796,0.9008,0
-2.8712,1.0005,0.28003,-1.8496,0.89377,0
-2.8605,1.0037,0.27973,-1.8472,0.92384,0
-2.889,1.0035,0.27663,-1.8778,0.93137,0
-1.3649,1.5436,0.26574,-0.77228,1.5196,0
-1.3277,1.5565,0.25219,-0.75167,1.5396,0
-1.3043,1.5608,0.22716,-0.7426,1.5785,0
-1.3181,1.553,0.21596,-0.75414,1.5974,0
-1.366,1.5328,0.20931,-0.78694,1.6098,0
-1.3998,1.5201,0.21348,-0.80819,1.6034,0
-1.4224,1.5146,0.23731,-0.81726,1.5645,0
-1.4119,1.5222,0.25786,-0.80508,1.532,0
-1.3761,1.5354,0.24784,-0.78425,1.5475,0
-1.3403,1.5483,0.23759,-0.76342,1.563,0
-1.353,1.5404,0.2233,-0.77518,1.5864,0
-1.3878,1.5276,0.23043,-0.79622,1.5754,0
-2.7053,1.0494,0.22118,-1.7993,1.3338,0
-2.6865,1.0548,0.21425,-1.7875,1.3635,0
-2.702,1.0514,0.20084,-1.8107,1.4066,0
-2.7359,1.0423,0.1952,-1.8456,1.4199,0
-2.7849,1.0296,0.2005,-1.888,1.3938,0
-2.8006,1.0262,0.21047,-1.8954,1.3544,0
-2.7373,1.0417,0.2172,-1.8313,1.3406,0
-2.7195,1.0465,0.20924,-1.821,1.3736,0
-2.7524,1.0381,0.20466,-1.8545,1.3837,0
-2.7691,1.034,0.21363,-1.8634,1.3475,0
