"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-2.9752,1,0.26199,-2,1.0667,0
-2.984,1,0.2654,-2,1.0333,0
-3.0019,1,0.27019,-2,0.96667,0
-3.0109,1,0.2715,-2,0.93333,0
-3.0291,1,0.27184,-2,0.86667,0
-3.0381,1,0.27083,-2,0.83333,0
-3.056,1,0.26637,-2,0.76667,0
-3.0649,1,0.26288,-2,0.73333,0
-3.0821,1,0.25336,-2,0.66667,0
-3.0904,1,0.24733,-2,0.63333,0
-3.1064,1,0.23269,-2,0.56667,0
-3.1141,1,0.22411,-2,0.53333,0
-3.1284,1,0.20452,-2,0.46667,0
-3.135,1,0.19355,-2,0.43333,0
-3.1471,1,0.1694,-2,0.36667,0
-3.1525,0.99999,0.15631,-2,0.33333,0
-3.162,1,0.12827,-2,0.26667,0
-3.1661,1,0.11344,-2,0.23333,0
-3.1726,1,0.082418,-2,0.16667,0
-3.1751,1,0.066361,-2,0.13333,0
-3.1784,0.99999,0.033465,-2,0.066667,0
-3.1793,0.99999,0.016773,-2,0.033333,0
-0.17748,1.7714,2.5159e-06,-0.1,2,0
-0.35396,1.7566,5.5198e-06,-0.2,2,0
-0.52849,1.7326,1.6099e-06,-0.3,2,0
-0.7002,1.7005,-8.4252e-06,-0.4,2,0
-0.86836,1.6617,-1.1711e-06,-0.5,2,0
-1.0324,1.6177,-1.9549e-06,-0.6,2,0
-1.1918,1.5701,4.8051e-06,-0.7,2,0
-1.3463,1.5201,-6.506e-06,-0.8,2,0
-1.4958,1.4692,3.5916e-06,-0.9,2,0
-1.6401,1.4185,-1.1015e-05,-1,2,0
-1.7795,1.3687,-2.8426e-06,-1.1,2,0
-1.9139,1.3205,-6.3445e-06,-1.2,2,0
-2.0437,1.2743,-7.4286e-06,-1.3,2,0
-2.1689,1.2301,-9.5021e-06,-1.4,2,0
-2.2898,1.188,-1.1066e-06,-1.5,2,0
-2.4065,1.1478,-7.9496e-06,-1.6,2,0
-2.5194,1.1093,-2.2516e-06,-1.7,2,0
-2.6284,1.0721,-5.2469e-06,-1.8,2,0
-2.7338,1.0358,4.4526e-06,-1.9,2,0
-0.059209,1.7759,9.794e-07,-0.033333,2,0
-0.11838,1.7742,1.613e-06,-0.066667,2,0
